"COD","SUC","NOMBRE","NOMSUC","DIR","LOC","CP","CLEARING","PROPIO"
"5","0","ABN AMRO BANK N. V.           ","                              ","                                                  ","                                                  ","          ","0","0"
"295","0","AMERICAN EXPRESS BANK LTD. SOC","                              ","                                                  ","                                                  ","          ","0","0"
"340","0","BACS BANCO DE CREDITO Y SECURI","                              ","                                                  ","                                                  ","          ","0","0"
"265","0","BANCA NAZIONALE DEL LAVORO S.A","                              ","                                                  ","                                                  ","          ","0","0"
"147","0","BANCO B.I. CREDITANSTALT SOCIE","                              ","                                                  ","                                                  ","          ","0","0"
"297","0","BANCO BANEX S.A.              ","                              ","                                                  ","                                                  ","          ","0","0"
"336","0","BANCO BRADESCO ARGENTINA S.A. ","                              ","                                                  ","                                                  ","          ","0","0"
"331","0","BANCO CETELEM ARGENTINA S.A.  ","                              ","                                                  ","                                                  ","          ","0","0"
"319","0","BANCO CMF S.A.                ","                              ","                                                  ","                                                  ","          ","0","0"
"335","0","BANCO COFIDIS S.A.            ","                              ","                                                  ","                                                  ","          ","0","0"
"389","0","BANCO COLUMBIA S.A.           ","                              ","                                                  ","                                                  ","          ","0","0"
"299","0","BANCO COMAFI SOCIEDAD ANONIMA ","                              ","                                                  ","                                                  ","          ","0","0"
"191","0","BANCO CREDICOOP COOPERATIVO LI","                              ","                                                  ","                                                  ","          ","0","0"
"94","0","BANCO DE CORRIENTES S.A.      ","                              ","                                                  ","                                                  ","          ","0","0"
"315","0","BANCO DE FORMOSA S.A.         ","                              ","                                                  ","                                                  ","          ","0","0"
"7","0","BANCO DE GALICIA Y BUENOS AIRE","                              ","                                                  ","                                                  ","          ","0","0"
"300","0","BANCO DE INVERSION Y COMERCIO ","                              ","                                                  ","                                                  ","          ","0","0"
"29","0","BANCO DE LA CIUDAD DE BUENOS A","                              ","                                                  ","                                                  ","          ","0","0"
"11","0","BANCO DE LA NACION ARGENTINA  ","                              ","                                                  ","                                                  ","          ","0","0"
"93","0","BANCO DE LA PAMPA SOCIEDAD DE ","                              ","                                                  ","                                                  ","          ","0","0"
"14","0","BANCO DE LA PROVINCIA DE BUENO","                              ","                                                  ","                                                  ","          ","0","0"
"20","0","BANCO DE LA PROVINCIA DE CORDO","                              ","                                                  ","                                                  ","          ","0","0"
"269","0","BANCO DE LA REPUBLICA ORIENTAL","                              ","                                                  ","                                                  ","          ","0","0"
"45","0","BANCO DE SAN JUAN S.A.        ","                              ","                                                  ","                                                  ","          ","0","0"
"86","0","BANCO DE SANTA CRUZ S.A.      ","                              ","                                                  ","                                                  ","          ","0","0"
"321","0","BANCO DE SANTIAGO DEL ESTERO S","                              ","                                                  ","                                                  ","          ","0","0"
"332","0","BANCO DE SERVICIOS FINANCIEROS","                              ","                                                  ","                                                  ","          ","0","0"
"338","0","BANCO DE SERVICIOS Y TRANSACCI","                              ","                                                  ","                                                  ","          ","0","0"
"198","0","BANCO DE VALORES S.A.         ","                              ","                                                  ","                                                  ","          ","0","0"
"83","0","BANCO DEL CHUBUT S.A.         ","                              ","                                                  ","                                                  ","          ","0","0"
"310","0","BANCO DEL SOL S.A.            ","                              ","                                                  ","                                                  ","          ","0","0"
"60","0","BANCO DEL TUCUMAN S.A.        ","                              ","                                                  ","                                                  ","          ","0","0"
"46","0","BANCO DO BRASIL S.A.          ","                              ","                                                  ","                                                  ","          ","0","0"
"137","0","BANCO EMPRESARIO DE TUCUMAN CO","                              ","                                                  ","                                                  ","          ","0","0"
"303","0","BANCO FINANSUR S.A.           ","                              ","                                                  ","                                                  ","          ","0","0"
"44","0","BANCO HIPOTECARIO S.A.        ","                              ","                                                  ","                                                  ","          ","0","0"
"259","0","BANCO ITAU BUEN AYRE S.A.     ","                              ","                                                  ","                                                  ","          ","0","0"
"305","0","BANCO JULIO SOCIEDAD ANONIMA  ","                              ","                                                  ","                                                  ","          ","0","0"
"285","0","BANCO MACRO BANSUD S.A.       ","                              ","                                                  ","                                                  ","          ","0","0"
"254","0","BANCO MARIVA S.A.             ","                              ","                                                  ","                                                  ","          ","0","0"
"293","0","BANCO MERCURIO S.A.           ","                              ","                                                  ","                                                  ","          ","0","0"
"281","0","BANCO MERIDIAN S.A.           ","                              ","                                                  ","                                                  ","          ","0","0"
"65","0","BANCO MUNICIPAL DE ROSARIO    ","                              ","                                                  ","                                                  ","          ","0","0"
"34","0","BANCO PATAGONIA SUDAMERIS S.A.","                              ","                                                  ","                                                  ","          ","0","0"
"301","0","BANCO PIANO S.A.              ","                              ","                                                  ","                                                  ","          ","0","0"
"306","0","BANCO PRIVADO DE INVERSIONES S","                              ","                                                  ","                                                  ","          ","0","0"
"268","0","BANCO PROVINCIA DE TIERRA DEL ","                              ","                                                  ","                                                  ","          ","0","0"
"97","0","BANCO PROVINCIA DEL NEUQUÉN SO","                              ","                                                  ","                                                  ","          ","0","0"
"79","0","BANCO REGIONAL DE CUYO S.A.   ","                              ","                                                  ","                                                  ","          ","0","0"
"72","0","BANCO RIO DE LA PLATA S.A.    ","                              ","                                                  ","                                                  ","          ","0","0"
"247","0","BANCO ROELA S.A.              ","                              ","                                                  ","                                                  ","          ","0","0"
"277","0","BANCO SAENZ S.A.              ","                              ","                                                  ","                                                  ","          ","0","0"
"27","0","BANCO SOCIETE GENERALE S.A.   ","                              ","                                                  ","                                                  ","          ","0","0"
"262","0","BANK OF AMERICA               ","                              ","                                                  ","                                                  ","          ","0","0"
"15","0","BANKBOSTON                    ","                              ","                                                  ","                                                  ","          ","0","0"
"17","0","BBVA BANCO FRANCES S.A.       ","                              ","                                                  ","                                                  ","          ","0","0"
"266","0","BNP PARIBAS                   ","                              ","                                                  ","                                                  ","          ","0","0"
"65203","0","CAJA DE CREDITO ""CUENCA"" COOPE","                              ","                                                  ","                                                  ","          ","0","0"
"64085","0","CAJA DE CREDITO COOPERATIVA LA","                              ","                                                  ","                                                  ","          ","0","0"
"16","0","CITIBANK N.A.                 ","                              ","                                                  ","                                                  ","          ","0","0"
"45118","0","COFIBAL COMPAÑIA FINANCIERA S.","                              ","                                                  ","                                                  ","          ","0","0"
"44077","0","COMPAÑIA FINANCIERA ARGENTINA ","                              ","                                                  ","                                                  ","          ","0","0"
"44091","0","CREDILOGROS COMPAÑIA FINANCIER","                              ","                                                  ","                                                  ","          ","0","0"
"44094","0","DAIMLERCHRYSLER COMPAÑIA FINAN","                              ","                                                  ","                                                  ","          ","0","0"
"325","0","DEUTSCHE BANK S.A.            ","                              ","                                                  ","                                                  ","          ","0","0"
"44092","0","FIAT CREDITO COMPAÑIA FINANCIE","                              ","                                                  ","                                                  ","          ","0","0"
"44059","0","FORD CREDIT COMPAÑIA FINANCIER","                              ","                                                  ","                                                  ","          ","0","0"
"44090","0","GE COMPAÑIA FINANCIERA S.A.   ","                              ","                                                  ","                                                  ","          ","0","0"
"44093","0","GMAC COMPAÑIA FINANCIERA S.A. ","                              ","                                                  ","                                                  ","          ","0","0"
"150","0","HSBC BANK ARGENTINA S.A.      ","                              ","                                                  ","                                                  ","          ","0","0"
"294","0","ING BANK N.V.                 ","                              ","                                                  ","                                                  ","          ","0","0"
"44096","0","JOHN DEERE CREDIT COMPAÑÍA FIN","                              ","                                                  ","                                                  ","          ","0","0"
"165","0","JP MORGAN CHASE BANK          ","                              ","                                                  ","                                                  ","          ","0","0"
"10","0","LLOYDS TSB BANK PLC           ","                              ","                                                  ","                                                  ","          ","0","0"
"45065","0","MASVENTAS S.A. COMPAÑIA FINANC","                              ","                                                  ","                                                  ","          ","0","0"
"312","0","MBA BANCO DE INVERSIONES S. A.","                              ","                                                  ","                                                  ","          ","0","0"
"45056","0","MONTEMAR COMPAÑIA FINANCIERA S","                              ","                                                  ","                                                  ","          ","0","0"
"45072","0","MULTIFINANZAS COMPAÑIA FINANCI","                              ","                                                  ","                                                  ","          ","0","0"
"388","0","NUEVO BANCO BISEL S.A.        ","                              ","                                                  ","                                                  ","          ","0","0"
"386","0","NUEVO BANCO DE ENTRE RÍOS S.A.","                              ","                                                  ","                                                  ","          ","0","0"
"309","0","NUEVO BANCO DE LA RIOJA SOCIED","                              ","                                                  ","                                                  ","          ","0","0"
"330","0","NUEVO BANCO DE SANTA FE SOCIED","                              ","                                                  ","                                                  ","          ","0","0"
"311","0","NUEVO BANCO DEL CHACO S. A.   ","                              ","                                                  ","                                                  ","          ","0","0"
"322","0","NUEVO BANCO INDUSTRIAL DE AZUL","                              ","                                                  ","                                                  ","          ","0","0"
"387","0","NUEVO BANCO SUQUÍA S.A.       ","                              ","                                                  ","                                                  ","          ","0","0"
