"FECHA","DOLAR","DOLARA","DOLARB","DOLARC","DOLARD","DOLARE","USUARIO","FECACT"
"01/01/1900","1190","1190","1190","1190","1190","0.0000","      ","2025-04-29"
"04/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-04"
"05/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-05"
"06/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-06"
"07/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-07"
"08/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-08"
"11/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-11"
"12/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-12"
"13/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-13"
"14/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-14"
"15/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-15"
"16/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-16"
"18/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-18"
"19/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-19"
"20/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-20"
"21/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-21"
"22/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-22"
"25/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-25"
"26/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-26"
"27/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-27"
"28/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-28"
"29/01/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-01-29"
"01/02/2010","3.84","3.84","3.84","3.84","3.84","0.0000","      ","2010-02-01"
"02/02/2010","3.86","3.86","3.86","3.86","3.86","0.0000","      ","2010-02-02"
"03/02/2010","3.86","3.86","3.86","3.86","3.86","0.0000","      ","2010-02-03"
"04/02/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-02-04"
"05/02/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-02-05"
"08/02/2010","3.87","3.87","3.87","3.87","3.87","0.0000","      ","2010-02-08"
"09/02/2010","3.87","3.87","3.87","3.87","3.87","0.0000","      ","2010-02-09"
"10/02/2010","3.87","3.87","3.87","3.87","3.87","0.0000","      ","2010-02-10"
"11/02/2010","3.87","3.87","3.87","3.87","3.87","0.0000","      ","2010-02-11"
