"COD1","COD2","NRODESP","CPBTE","ENTRADA","SALIDAS","STOCK","FECENT","FECUSAL"
"A","100","16001IC04087468E","80916","105","105","0.0000","2016-09-12","2019-11-05"
"A","100","17001IC04180892A","80917","99","99","0.0000","2017-09-15","2023-07-20"
"A","100","18001IC04080837W","90418","105","43","62","2018-04-13","2025-02-06"
"A","100","19001IC04015932R","240119","99","6","93","2019-01-28","2021-10-18"
"A","100","19001IC04158500Z","60919","50","15","35","2019-09-11","2025-02-26"
"A","100","20001IC04111282E","200720","59","2","57","2020-07-23","2021-02-22"
"A","100","21001IC04054806N","190321","50","31","19","2021-03-23","2023-10-12"
"A","100","21001IC04161492N","240821","50","20","30","2021-08-30","2023-10-03"
"A","100","21001IC04245806P","131221","50","4","46","2021-12-17","2022-03-03"
"A","100","21001IC05014592M","280621","50","39","11","2021-06-30","2024-12-26"
"A","100","22001IC04105136H","160522","50","14","36","2022-05-20","2023-05-03"
"A","100","22001IC05023281X","260922","50","17","33","2022-09-26","2025-04-24"
"A","100","23001IC04049866C","280323","50","5","45","2023-03-30","2024-11-22"
"A","100","23001IC04174792W","181023","60","0.0000","60","2023-10-27","2023-10-27"
"A","102","23001IC04174792W","181023","60","35","25","2023-10-27","2025-04-03"
"A","105","23001IC04174792W","181023","60","23","37","2023-10-27","2025-04-29"
"A","108","23001IC04174792W","181023","60","3","57","2023-10-27","2024-10-16"
"A","110","23001IC04174792W","181023","60","41","19","2023-10-27","2025-04-29"
"A","112","23001IC04174792W","181023","60","31","29","2023-10-27","2025-02-28"
"A","115","23001IC04174792W","181023","60","6","54","2023-10-27","2024-06-25"
"A","120","23001IC04174792W","181023","60","4","56","2023-10-27","2023-11-10"
"A","17","14001IC04241965T","20115","2005","432","1573","2015-01-05","2024-05-21"
"A","17","20001IC04173188R","221020","100","42","58","2020-10-28","2024-10-18"
"A","17","20001IC04192939W","181120","306","0.0000","306","2020-11-24","2020-11-24"
"A","17","21001IC04054806N","190321","250","9","241","2021-03-23","2023-02-27"
"A","17","21001IC04161492N","240821","251","14","237","2021-08-30","2023-10-04"
"A","17","21001IC04245806P","131221","333","0.0000","333","2021-12-17","2021-12-17"
"A","17","21001IC05014592M","280621","250","16","234","2021-06-30","2025-02-14"
"A","17","22001IC04105136H","160522","50","49","1","2022-05-20","2025-01-08"
"A","17","22001IC05023281X","260922","296","5","291","2022-09-26","2025-02-21"
"A","17","23001IC04049866C","280323","500","0.0000","500","2023-03-30","2023-03-30"
"A","17","23001IC04174792W","181023","512","0.0000","512","2023-10-27","2023-10-27"
"A","18","14001IC04241965T","20115","250","250","0.0000","2015-01-05","2020-01-14"
"A","18","15091IC04055318B","91015","296","228","68","2015-10-14","2025-04-07"
"A","18","18001IC04080837W","90418","25","25","0.0000","2018-04-13","2023-09-13"
"A","18","23001IC04174792W","181023","222","0.0000","222","2023-10-27","2023-10-27"
"A","19","14001IC04241965T","20115","995","980","15","2015-01-05","2025-04-29"
"A","19","15091IC04055318B","91015","300","25","275","2015-10-14","2022-06-08"
"A","19","23001IC04174792W","181023","192","0.0000","192","2023-10-27","2023-10-27"
"A","20","11001IC04199085V","61011","38","38","0.0000","2011-10-11","2011-10-17"
"A","20","13001IC04101121","220513","507","508","-1","2013-05-23","2015-06-01"
"A","20","14001IC04026899D","100214","495","495","0.0000","2014-02-10","2018-11-02"
"A","20","14001IC04241965T","20115","600","600","0.0000","2015-01-05","2024-10-21"
"A","20","15091IC04055318B","91015","410","409","1","2015-10-14","2025-02-07"
"A","20","23001IC04174792W","181023","242","32","210","2023-10-27","2025-04-14"
"A","21","11001IC04199085V","61011","51","51","0.0000","2011-10-11","2011-10-17"
"A","21","13001IC04101121","220513","403","404","-1","2013-05-23","2015-07-22"
"A","21","14001IC04026899D","100214","403","403","0.0000","2014-02-10","2020-01-03"
"A","21","14001IC04241965T","20115","508","509","-1","2015-01-05","2023-01-17"
"A","21","15091IC04055318B","91015","405","406","-1","2015-10-14","2024-10-28"
"A","21","23001IC04174792W","181023","221","198","23","2023-10-27","2025-04-21"
"A","22","11001IC04199085V","61011","52","52","0.0000","2011-10-11","2011-10-17"
"A","22","13001IC04101121","220513","402","402","0.0000","2013-05-23","2014-09-12"
"A","22","14001IC04026899D","100214","410","411","-1","2014-02-10","2015-09-28"
"A","22","14001IC04241965T","20115","504","505","-1","2015-01-05","2017-08-14"
"A","22","15091IC04055318B","91015","402","402","0.0000","2015-10-14","2019-09-17"
"A","22","16001IC04087468E","80916","199","200","-1","2016-09-12","2020-12-10"
"A","22","23001IC04174792W","181023","200","209","-9","2023-10-27","2025-02-04"
"A","23","11001IC04199085V","61011","50","50","0.0000","2011-10-11","2011-10-17"
"A","23","13001IC04101121","220513","405","405","0.0000","2013-05-23","2014-12-11"
"A","23","14001IC04026899D","100214","407","408","-1","2014-02-10","2017-03-09"
"A","23","14001IC04241965T","20115","502","502","0.0000","2015-01-05","2019-09-17"
"A","23","15091IC04055318B","91015","404","404","0.0000","2015-10-14","2022-02-02"
"A","23","16001IC04087468E","80916","200","200","0.0000","2016-09-12","2022-11-03"
"A","23","19001IC04015932R","240119","116","116","0.0000","2019-01-28","2023-03-15"
"A","23","20001IC04111282E","200720","152","151","1","2020-07-23","2023-11-24"
"A","23","20001IC04192939W","181120","152","152","0.0000","2020-11-24","2025-04-03"
"A","23","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2024-02-15"
"A","23","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2025-01-29"
"A","23","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2023-11-30"
"A","23","21001IC05014592M","280621","52","52","0.0000","2021-06-30","2024-01-30"
