"CLTE","SECCION","DTO1","DTO2","DTO3","DTO4","DTO5","RGO1","RGO2","RGO3","FACTUAL","USUARIO"
"26","A    ","48","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"26","B    ","48","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"26","C    ","48","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"26","D    ","48","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"26","E    ","48","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"26","O    ","48","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"26","CAA  ","48","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"26","CAC  ","48","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"27","A    ","50","20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"27","B    ","50","20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"27","C    ","50","20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"27","D    ","50","20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"27","E    ","50","20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"27","O    ","50","20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"27","CAA  ","50","20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"27","CAC  ","50","20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"30","A    ","35","5","10","10","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"30","B    ","35","5","10","10","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"30","C    ","35","5","10","10","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"30","D    ","35","5","10","10","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"30","E    ","35","5","10","10","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"30","O    ","35","5","10","10","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"30","CAA  ","35","5","10","10","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"30","CAC  ","35","5","10","10","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"35","A    ","40","5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"35","B    ","40","5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2005-08-05","Pasaje"
"7","A    ","20","10","10","0.0000","0.0000","0.0000","0.0000","0.0000","2020-10-19","      "
"7","B    ","20","10","10","0.0000","0.0000","0.0000","0.0000","0.0000","2020-10-19","      "
"7","C    ","20","10","10","0.0000","0.0000","0.0000","0.0000","0.0000","2020-10-19","      "
"7","D    ","20","10","10","0.0000","0.0000","0.0000","0.0000","0.0000","2020-10-19","      "
