"CTAB","COD","DESCRI","ALF1","ALF2","ALF3","ALF4","ALF5","ALF6","ALF7","ALF8","NUMSD1","NUMSD2","NUMSD3","NUMCD1","NUMCD2","NUMCD3","FECHA1","FECHA2","MCA1","MCA2","MCA3","USUARIO","FECACT"
"MT   ","3         ","DEV. PERC.IB","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2009-04-29"
"VD   ","24        ","PURITA","     ","     ","     ","     ","     ","     ","     ","     ","24","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2009-10-01"
"ZN   ","24        ","PURITA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2009-10-01"
"CV   ","14        ","30 DIAS FF","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2010-05-11"
"CV   ","16        ","CONTADO ","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2012-12-17"
"CV   ","17        ","DEPOSITO 50% - RESTO CH.30DIAS","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2011-10-27"
"CV   ","18        ","CH/30 DS CONTRA ENTREGA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2011-11-21"
"CV   ","20        ","PAGO ANTICIPADO CH/30 DIAS","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2012-03-15"
"VD   ","7         "," E RIOS EZEQUIEL","     ","     ","     ","     ","     ","     ","     ","     ","7","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-12-19"
"VD   ","8         ","CHIURAZZI","     ","     ","     ","     ","     ","     ","     ","     ","8","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-08-08"
"VD   ","9         ","BAMBA ROSARIO","     ","     ","     ","     ","     ","     ","     ","     ","9","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-08-08"
"VD   ","10        ","ABRAHAM","     ","     ","     ","     ","     ","     ","     ","     ","10","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-08-08"
