"COD1","COD2","STMIN","STMAX","STREP","DEP1","EST1","ESTT1","DEP2","EST2","ESTT2","STANT","PULG","MTR","STUNID","ENTMES","SALMES","AJEMES","AJSMES","USUARIO","FACTUAL"
"A    ","47        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-3871","8139","12022","0.0000","0.0000","      ","2025-04-29"
"A    ","50        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-3597","6466","10068","0.0000","0.0000","      ","2025-04-24"
"A    ","59        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-522","4078","4603","0.0000","0.0000","      ","2025-04-14"
"A    ","62        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-800","3603","4406","0.0000","0.0000","      ","2025-04-23"
"B    ","38        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2968","6069","9042","0.0000","0.0000","      ","2025-04-29"
"B    ","41        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-956","5597","6556","0.0000","0.0000","      ","2025-04-16"
"B    ","45        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1413","6875","8293","0.0000","0.0000","      ","2025-04-24"
"B    ","52        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-5121","5554","10679","0.0000","0.0000","      ","2025-04-29"
"B    ","42        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-3101","6414","9520","0.0000","0.0000","      ","2025-04-29"
"B    ","60        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-5971","4560","10534","0.0000","0.0000","      ","2025-04-29"
"B    ","63        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-4153","3905","8062","0.0000","0.0000","      ","2025-04-21"
"A    ","116       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-59","0.0000","65","0.0000","0.0000","      ","2024-01-31"
"B    ","143       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-94","50","147","0.0000","0.0000","      ","2025-03-27"
"HL   ","          ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-4","0.0000","9","0.0000","0.0000","      ","2011-08-18"
"PL   ","4         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-20","0.0000","20","0.0000","0.0000","      ","2011-08-12"
"C    ","55        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-909","738","1649","0.0000","0.0000","      ","2025-04-04"
"C    ","66        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-544","881","1428","0.0000","0.0000","      ","2025-04-01"
"C    ","78        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-248","802","1055","0.0000","0.0000","      ","2025-04-23"
"B    ","83        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1719","1330","3051","0.0000","0.0000","      ","2025-04-15"
"A    ","61        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2227","3408","5638","0.0000","0.0000","      ","2025-04-22"
"PISO ","3         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-10","17980","13605","0.0000","0.0000","      ","2025-04-22"
"PISO ","1         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-40","36160","32788","0.0000","0.0000","      ","2025-04-29"
"O    ","18        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-90","4380","4473","0.0000","0.0000","      ","2025-04-23"
"CAC  ","65        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-258","0.0000","268","0.0000","0.0000","      ","2025-03-12"
"CAC  ","100       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-137","0.0000","139","0.0000","0.0000","      ","2025-03-12"
"D    ","178       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","3","0.0000","1","0.0000","0.0000","      ","2008-01-29"
"D    ","144       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-312","400","713","0.0000","0.0000","      ","2024-10-29"
"O    ","40        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-448","458","907","0.0000","0.0000","      ","2025-04-01"
"A    ","69        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1788","1370","3162","0.0000","0.0000","      ","2025-04-28"
"A    ","28        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-115","10941","11062","0.0000","0.0000","      ","2025-04-29"
"A    ","29        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","2535","16893","14362","0.0000","0.0000","      ","2025-04-29"
"O    ","24        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-158","1602","1770","0.0000","0.0000","      ","2025-04-22"
"O    ","26        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-468","1278","1749","0.0000","0.0000","      ","2025-04-14"
"A    ","22        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1948","2379","4329","0.0000","0.0000","      ","2025-04-11"
"A    ","23        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-472","3683","4158","0.0000","0.0000","      ","2025-04-21"
"A    ","49        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1718","6261","7983","0.0000","0.0000","      ","2025-04-29"
"A    ","53        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-4409","5399","9811","0.0000","0.0000","      ","2025-04-29"
"A    ","56        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1814","4375","6192","0.0000","0.0000","      ","2025-04-22"
"A    ","60        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1613","4254","5870","0.0000","0.0000","      ","2025-04-29"
"C    ","45        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-241","659","897","0.0000","0.0000","      ","2025-04-22"
"C    ","58        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-824","880","1706","0.0000","0.0000","      ","2025-04-24"
"CAA  ","28        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-685","0.0000","700","0.0000","0.0000","      ","2024-10-16"
"CAA  ","35        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-862","0.0000","863","0.0000","0.0000","      ","2025-03-19"
"CAA  ","50        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1508","0.0000","1523","0.0000","0.0000","      ","2025-04-01"
"CAA  ","60        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1311","0.0000","1317","0.0000","0.0000","      ","2024-11-12"
"CAC  ","45        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-388","0.0000","392","0.0000","0.0000","      ","2025-03-12"
"B    ","68        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-4980","5225","10209","0.0000","0.0000","      ","2025-04-29"
"B    ","72        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-3514","2826","6342","0.0000","0.0000","      ","2025-04-22"
"B    ","79        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1266","1597","2864","0.0000","0.0000","      ","2025-04-25"
"B    ","91        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1328","1330","2660","0.0000","0.0000","      ","2025-04-14"
"D    ","270       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-269","0.0000","285","0.0000","0.0000","      ","2024-01-02"
"CAA  ","80        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-314","0.0000","319","0.0000","0.0000","      ","2025-04-28"
"CAA  ","65        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-808","0.0000","813","0.0000","0.0000","      ","2024-10-29"
"PISO ","5         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-70","600","610","0.0000","0.0000","      ","2011-10-31"
"MOL  ","650       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-49525","0.0000","49543","0.0000","0.0000","      ","2025-04-25"
"A    ","75        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1760","1087","2850","0.0000","0.0000","      ","2025-04-21"
"A    ","105       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-215","60","277","0.0000","0.0000","      ","2025-04-29"
"B    ","69        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1991","3935","5931","0.0000","0.0000","      ","2025-04-24"
"B    ","125       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-759","0.0000","762","0.0000","0.0000","      ","2025-04-03"
"C    ","81        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-532","707","1249","0.0000","0.0000","      ","2025-04-04"
"B    ","47        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-762","8287","9053","0.0000","0.0000","      ","2025-04-29"
"A    ","25        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","1261","7367","6110","0.0000","0.0000","      ","2025-04-24"
"A    ","46        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-8724","13886","22618","0.0000","0.0000","      ","2025-04-24"
"B    ","44        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-655","6986","7645","0.0000","0.0000","      ","2025-04-11"
"B    ","67        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2755","4326","7084","0.0000","0.0000","      ","2025-04-29"
"C    ","100       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1386","813","2207","0.0000","0.0000","      ","2025-04-21"
"C    ","115       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-691","340","1033","0.0000","0.0000","      ","2025-04-21"
"C    ","145       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-341","40","384","0.0000","0.0000","      ","2025-04-24"
"C    ","260       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-389","714","1105","0.0000","0.0000","      ","2025-04-14"
"BL   ","3,5       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","      ","2010-09-28"
"PL   ","2         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-50","0.0000","50","0.0000","0.0000","      ","2011-07-29"
"SF   ","4         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-59","0.0000","61","0.0000","0.0000","      ","2011-01-07"
"A    ","48        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-3292","7622","10918","0.0000","0.0000","      ","2025-04-29"
"A    ","77        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-945","1072","2020","0.0000","0.0000","      ","2025-04-28"
"A    ","100       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","457","1090","639","0.0000","0.0000","      ","2025-04-24"
"PL   ","10        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","      ","2011-07-06"
"GPS  ","          ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","29","0.0000","7337","0.0000","0.0000","      ","2011-08-19"
"A    ","34        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-8005","36416","44427","0.0000","0.0000","      ","2025-04-24"
"A    ","36        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2799","28969","31770","0.0000","0.0000","      ","2025-04-29"
"A    ","38        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","1794","21764","19976","0.0000","0.0000","      ","2025-04-29"
"A    ","32        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-9324","40807","50137","0.0000","0.0000","      ","2025-04-28"
"A    ","51        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-3034","5029","8066","0.0000","0.0000","      ","2025-04-29"
"A    ","64        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1505","3432","4940","0.0000","0.0000","      ","2025-04-24"
"A    ","78        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-797","1485","2285","0.0000","0.0000","      ","2025-04-29"
"A    ","89        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-526","737","1272","0.0000","0.0000","      ","2025-02-07"
"B    ","61        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-3565","4044","7613","0.0000","0.0000","      ","2025-04-24"
"B    ","62        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-5839","4785","10628","0.0000","0.0000","      ","2025-04-29"
"B    ","66        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2518","5358","7878","0.0000","0.0000","      ","2025-04-14"
"A    ","24        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1899","5281","7182","0.0000","0.0000","      ","2025-04-28"
"A    ","33        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-7410","35425","42841","0.0000","0.0000","      ","2025-04-28"
"A    ","42        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2574","12148","14726","0.0000","0.0000","      ","2025-04-29"
"A    ","44        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1944","13140","15096","0.0000","0.0000","      ","2025-04-28"
"C    ","122       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1036","0.0000","1038","0.0000","0.0000","      ","2025-04-28"
"A    ","55        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2337","4272","6612","0.0000","0.0000","      ","2025-04-29"
"B    ","107       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-863","0.0000","867","0.0000","0.0000","      ","2025-03-12"
"SF   ","5         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-9.123","0.0000","3793.369","0.0000","0.0000","      ","2011-08-18"
"PL   ","5         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","      ","2011-03-15"
"BL   ","4         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","      ","2011-06-23"
"A    ","87        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-708","760","1470","0.0000","0.0000","      ","2025-04-01"
"PL   ","8         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","      ","2011-05-17"
"PL   ","12        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","      ","2010-07-05"
"A    ","112       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-153","60","217","0.0000","0.0000","      ","2025-02-28"
"PL   ","7         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2","0.0000","2","0.0000","0.0000","      ","2011-08-01"
"B    ","78        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-2079","2350","4432","0.0000","0.0000","      ","2025-04-29"
"SF   ","9         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","1","0.0000","0.0000","0.0000","0.0000","      ","2005-07-28"
"A    ","108       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-92","60","162","0.0000","0.0000","      ","2024-10-16"
"B    ","151       ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-59","0.0000","63","0.0000","0.0000","      ","2024-11-20"
"A    ","88        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-437","1121","1598","0.0000","0.0000","      ","2025-04-10"
"A    ","58        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1115","4128","5246","0.0000","0.0000","      ","2025-04-24"
"A    ","74        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-1185","1553","2741","0.0000","0.0000","      ","2025-04-11"
"SF   ","3         ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","-9","0.0000","10","0.0000","0.0000","      ","2011-02-03"
"PL   ","14        ","0.0000","0.0000","0.0000","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","      ","2010-08-04"
